titulo,valor
"Frio Asfalto Galão 3,6 Litros 3,9Kg Otto Baumgart","45,13"
Rejunte P/Porcelanato 5Kg Bege Quartzolit,"33,16"
Betoneira 1 Traco Super 400L Mono 2Cv 220V Csm,"3.100,80"
Lona Plastica 4X3 Azul Plasilona,"17,10"
Lona Plastica 3X2 Azul Plasilona,"9,31"
Lona Carreteiro 4Mmx3Mm Azul Bemis,"62,61"
Lona Carreteiro 6Mmx4Mm Azul Bemis,"125,40"
Lona Carreteiro 5Mmx4Mm Azul Bemis,"104,41"
"Vedapren Parede Branco Galão 3,6 Litros Otto Baumgart","66,41"
Lona Carreteiro 5Mmx3Mm Azul Bemis,"78,38"
Assento Piscina Aquadog Rosa Infantil Tramontina,"275,41"
Lona Carreteiro 3Mmx3Mm Azul Bemis,"47,41"
Assento Piscina Aquadog Azul Infantil Tramontina,"275,41"
Inflador Pratico 1888 Mor,"27,46"
Piscina 2000 Litros 1004 Mor,"256,41"
"PISCINA SPLASH FUN 2,40X63 2400 LTS 1053 MOR","151,91"
"PISCINA SPLASH FUN 1,65X35 1000 LTS 1048 MOR","132,91"
"Aro para Carrinho com Pneu E Camara 3,25 Maestro","42,66"
Conjunto para Jardim com Cabo De Madeira 7810/801 Tramontina,"26,51"
"PISCINA SPLASH FUN 2,15X63 1900 LTS 1049 MOR","161,41"
Aparador De Grama 220V Ap1000 Tramontina,"189,91"
Areia Po De Pedra Por Saco 20Kg,"3,04"
Areia Media Regiao Por Saco 20Kg,"3,33"
Lona Carreteiro 7Mmx6Mm Azul Bemis,"218,41"
Piscina 400 Litros 1000 Mor,"85,41"
Suporte Fixo Para Mangueira 78592/000 Tramontina,"9,41"
"Adaptador Interno 3/4"" 11489 Amanco","1,71"
ENGATE RAPIDO P/MANGUEIRA STOP 1/2 98642 AMANCO,"4,66"
ESGUICHO 1 JATO 98639 AMANCO,"13,21"
Adaptador De Redução Interno 1X3/4 11495 Amanco,"3,52"
"Aspersor Setorial Estático 78526/400 Tramontina, ","35,06"
Adaptador De Redução Interno 3/4X1/2 11496 Amanco,"2,19"
"Joelho 90 Interno Duplo 1/2"" 11690 Amanco,Sobre o Produto","1,90"
"Adaptador Interno 1"" 11484 Amanco","2,76"
"Adaptador Interno 1/2"" 11487 Amanco","1,24"
Hidropistola 78535/400 Tramontina,"17,01"
Conjunto Para Jardim Plástico 78111/800 Tramontina,"24,70"
Mangueira Jardinagem Flex Engate 20M 79172200 Tramontina,"58,43"
Enrolador de Mangueira Com Rodinhas 78595/000 Tramontina,"135,76"
Lixadeira Orbital 1/3 7351 200W -1/3 220V Skill,"301,06"
Bits Fenda C/3 Un Ref 2607001461 Bosch,"21,76"
Bits Fenda C/3 Un Ref 2607001464 Bosch,"17,96"
Pistola De Cola Quente 40W Bivolt 3Kn  Eda,"25,56"
"Carrinho De Mao C/Pneu Preto 3,5 Maestro","94,91"
Ferro De Soldávela 70W 43752/506 127V Tramontina,"39,43"
Tupia Laminada 450 Com Guia Dwe6000-B2 220V  Dewalt,"655,41"
Jogo De Fresas Para Tupia Com 12 Peças Dw90016-La  Stanley,"283,10"
Serra Tico Tico 600W 220V  Sts0600K-B2  Stanley,"725,71"
Reservatorio P/Pistola Plastico 700Ml Terra,"22,33"
Reservatorio P/Pistola Inox 800Ml Terra,"41,71"
"Carrinho De Mao C/Pneu Galvanizado 3,5 Maestro","113,91"
Serra Circular 7 1/4  1400W  220V  Dwe560B2 Dewalt,"578,55"
Pistola Para Pintura Pulv Tp350W 700Ml 220V Terra,"269,71"
Pistola Para Pintura Pulv Tp350W 800Ml 110V Terra,"269,71"
Pistola Para Pintura Pulv Tp900W 220V Terra,"379,91"
Pistola Para Pintura Pulv Tp900W 110V Terra,"379,91"
Jogo De Brocas Mix9 Peças 43408/512 Tramontina,"53,20"
Refil Para Torneira Acqua Bella 7411004 Lorenzetti,"20,52"
Filtro Com Torneira Bancada Acqua Bella  1192  Lorenzetti,"100,23"
Filtro Parede Acqua Bella Branco Lorenzetti,"69,26"
Refil P/Purifcador Gioviale 7411119 Lorenzetti,"72,11"
Purificador Vitale Branco 7411016 Lorenzetti,"94,91"
"Gabinete 2,00M Bari Branco Mgm","696,26"
Pia Aco Inox 105X52 1Cc Standard Tramontina,"165,21"
"Cuba Dupla Retangular Vertical Aco Inox 77X45 Acetinado C/Válvula De Ø 3 1/2"" Tramontina","465,41"
"Elemento Filtrante Polipropileno 7"" Lorenzetti","30,40"
CAIXA ACOPLADA COM MECANISMO  DUPLO SQUARE CINZA 7712058 LORENZETTI   ,"243,20"
Filtro Parede Acqua Bella Cro Lorenzetti,"89,30"
Filtro Purificador De Água Com Registro Acqua Bella Branco  Lorenzetti,"55,96"
Filtro de Parede Acqua Bella Black Lorenzetti,"68,31"
Filtro Loren Acqua Pou 7 Tr Ep Lorenzetti,"141,46"
Pia-Fogao Inox Star 120X55 2Gx/Dx Tramontina,"1.329,91"
Pia-Fogao Inox Star 120X55 2Er/Ex Tramontina,"1.613,96"
Assento Sanitario Resinado Ibiza Pessego 1530800 Tupan,"232,66"
Assento Sanitario Resinado Ibiza Biscuit 1530570 Tupan,"232,66"
Assento Sanitario Pp City/Avant Soft Close Branco Acae00S Tupan,"134,81"
Assento Sanitario Resinado Hampton Biscuit 2630570 Tupan,"232,66"
Assento Sanitario Resinado Bali Cinza Platina 2230480 Tupan,"279,21"
Assento Sanitario Resinado Ibiza Verde Agua 1530510 Tupan,"232,66"
Assento Sanitario Resinado Ibiza Cinza Platina 1530480 Tupan,"232,66"
Assento Sanitario Pp City/Avant Branco Acae00C Tupan,"81,61"
Assento Sanitario Resinado Ibiza Branco 1530010 Tupan,"232,66"
Assento Sanitario Oval Resinado Evolution Soft Close Creme Utfev06S Tupan,"208,91"
Assento Sanitario Oval Resinado Evolution Biscuit Utfev57C Tupan,"147,16"
Assento Sanitario Oval Resinado Evolution Branco Utfev00C Tupan,"147,16"
Assento Sanitario Oval Resinado Soft Close Biscuit Utfev57S Tupan,"208,91"
Assento Sanitario Oval Resinado Soft Close Cinza Prata Utfev77S Tupan,"208,91"
Assento Sanitario Oval Resinado Evolution Creme Utfev06C Tupan,"147,16"
Assento Sanitario Oval Resinado Luxo Preto Alt Tupan,"128,16"
Assento Sanitario Oval Resinado Luxo Cinza Claro/Prata Alp Tupan,"128,16"
Assento Sanitario Oval Resinado Luxo Branco Alb Tupan,"128,16"
Assento Sanitario Oval Resinado Luxo Rosato/Shell Al2 Tupan,"128,16"
Assento Sanitario Oval Resinado Luxo Biscuit Al11 Tupan,"128,16"
Assento Sanitario Oval Resinado Luxo Creme/Bone Al006 Tupan,"128,16"
Assento Sanitario Oval Resinado Prime Pessego/Rosato 1130800 Tupan,"140,51"
Assento Sanitario Oval Resinado Prime Biscuit/Pergamo 1130570 Tupan,"140,51"
Assento Sanitario Oval Resinado Prime Ocre/Caramelo 1130503 Tupan,"140,51"
Assento Sanitario Oval Resinado Evolution Cinza Prata Utfev77C Tupan,"147,92"
Assento Sanitario Oval Resinado Prime Cinza Claro/Prata 1130480 Tupan,"140,51"
Assento Sanitario Resinado Luna Preto Ast112 Tupan,"229,81"
Assento Sanitario Pp Laguna/ Stylus/ Primula/ Amarilis Branco Ac12 Tupan,"101,56"
Assento Sanitario Pp Calypso Biscuit Calyevpp57C Tupan,"91,11"
Assento Sanitario Pp Fit/Versato/Savary Agua Marinha Fitevo29C Tupan,"83,51"
Assento Sanitário Oval Resinado Prime Br 1130010 Tupan,"140,51"
Assento Sanitario Oval Resinado Evolution Soft Close Branco Utfev00S Tupan,"199,41"
Assento Sanitario Oval Pp Solution Branco Auspp00Cv Tupan,"66,41"
Assento Sanitario Oval Pp Plus Branco A+000 Tupan,"66,41"
Assento Sanitario Oval Pp Premium Rosato/Shell Ap363 Tupan,"27,46"
Assento Sanitario Oval Pp Premium Marrom/Caramelo Ap348 Tupan,"25,56"
Assento Sanitario Oval Pp Premium Cinza Claro/Prata Ap162 Tupan,"27,46"
Assento Sanitario Oval Pp Prime Rosato/Pessego 1110800 Tupan,"35,06"
Assento Sanitario Oval Pp Solution Soft Close Cristal Azul Ausppc11Sc Tupan,"99,66"
Assento Sanitario Oval Pp Prime Biscuit/Pergamon 1110570 Tupan,"35,06"
Assento Sanitario Oval Pp Premium Creme/Marfim Ap006 Tupan,"27,46"
Assento Sanitario Oval Pp Prime Ocre/Caramelo 1110503 Tupan,"35,06"
Assento Sanitario Oval Pp Prime Cinza Claro/Prata 1110480 Tupan,"35,06"
Assento Sanitario Oval Pp Plus Verde Claro/Malva A+585 Tupan,"66,41"
Assento Sanitario Oval Pp Premium Branco Ap000 Tupan,"27,46"
Assento Sanitario Oval Pp Prime Branco 1110010 Tupan,"35,06"
Assento Sanitario Oval Pp Plus Branco Apcare00 Tupan,"75,91"
Assento Sanitario Oval Pp Premium Biscuit/Pergamon Ap696 Tupan,"27,46"
Assento Sanitario Oval Pp Plus Rosato/Pessego A+363 Tupan,"66,41"
Assento Sanitario Oval Pp Atlas Branco Aat000 Tupan,"99,66"
Assento Sanitario Oval Pp Plus Biscuit/Pergamon A+696 Tupan,"66,41"
Assento Sanitario Resinado Riviera/Smart/Nexo Soft Close Pergamon Rivtfe59Sc Tupan,"253,56"
Assento Sanitario Oval Pp Plus Creme A+006 Tupan,"66,41"
Assento Sanitario Oval Pp Plus Ocre/Caramelo A+348 Tupan,"66,41"
Assento Sanitario Oval Pp Plus Cinza Claro/Prata A+162 Tupan,"66,41"
Assento Sanitario Pp Sabatini Verde Claro  Ast809 Tupan,"94,91"
"Gabinete 1,50M Bari Branco/Vermelho Mgm","565,16"
"Gabinete 1,50M Bari Branco Mgm","565,16"
"Gabinete 2,00M Bari Branco/Vermelho Mgm","696,26"
"Gabinete 1,20M Bari Branco/Preto Mgm","511,01"
"Gabinete 1,50M Bari Castanho Mgm","565,16"
"Gabinete 1,20M Bari Branco Mgm","511,01"
"Gabinete 2,00M Bari Castanho Mgm","696,26"
"Gabinete 2,00M Bari Branco/Preto Mgm","696,26"
Pia Aco Inox 80X50 1Cd Standard Tramontina,"250,71"
Pia Aco Inox 304 Ba 180X55 2Cc Perf Tramontina,"794,11"
Pia Aco Inox 80X60 1C Rev Stella Tramontina,"588,91"
Pia Aco Inox 120X60 2C Rev Stella Tramontina,"783,75"
Pia Aco Inox 120X55 2Cd Perf Tramontina,"696,35"
Pia Aco Inox 200X55 2Cc Perf Tramontina,"861,56"
Pia Aco Inox 80X60 2C Rev Stella Tramontina,"740,91"
Pia Aco Inox 120X60 2Cd Perf Tramontina,"895,76"
Pia Aco Inox 120X50 1Cc Standard Tramontina,"340,01"
Pia Aco Inox 120X55 1Cd Standard Tramontina,"360,91"
Pia Aco Inox 100X60 1Ce Steel Tramontina,"573,71"
Pia Aco Inox 120X55 1Ce Standard Tramontina,"347,70"
Pia Aco Inox 200X60 1Cc Perf Tramontina,"1.108,56"
Pia Aco Inox 100X50 1Cd Standard Tramontina,"283,58"
Pia Aco Inox 100X60 1C Rev Stella Tramontina,"628,90"
Pia Aco Inox 304 Ba 180X60 1Cc Perf Tramontina,"811,21"
Pia Aco Inox 304 Ba 200X55 1Cc Perf Tramontina,"769,50"
Pia Aco Inox 304 Ba 180X55 1Cc Perf Tramontina,"715,26"
Pia Aco Inox 140X55 1Cc Perf Tramontina,"718,20"
Pia Aco Inox 150X52 1Cc Standard Tramontina,"249,76"
Pia Aco Inox 150X52 Standard Tramontina,"252,61"
Pia Aco Inox 150X52 1Cc Standard Tramontina,"243,20"
Pia Aco Inox 120X52 1Cc Standard Tramontina,"170,05"
Pia Aco Inox 105X52 1Cc Standard Tramontina,"184,21"
"Cuba Dupla Retangular Horizontal Aco Inox 89X39 Acetinado C/Válvula De Ø 4 1/2"" Tramontina","967,01"
"Cuba Dupla Retangular Horizontal Inox 78X40 Polido C/Válvula De Ø 3 1/2"" Tramontina","383,71"
"Cuba Dupla Retangular Vertical Aco Inox 77X45 Alto Brilho C/Válvula De Ø 4 1/2"" Com Escape Tramontina","555,66"
"Cuba Dupla Redonda Aco Inox 84X44 Acetinado C/Válvula De Ø 4 1/2"" Com Escape Tramontina","493,91"
"Cuba Dupla Redonda Aco Inox 84X44 Acetinado C/Válvula De Ø 4 1/2"" Tramontina","487,26"
"Cuba Dupla Retangular Horizontal Aco Inox 78X40 Alto Brilho C/Válvula De Ø 3 1/2"" Tramontina","455,91"
"Cuba Dupla Retangular Horizontal Aco Inox 78X40 Acetinado C/Válvula De Ø 4 1/2"" Tramontina","436,91"
"Cuba Dupla Retangular Vertical Aco Inox 77X45 Alto Brilho C/Válvula De Ø 3 1/2"" Tramontina","510,06"
"Cuba Dupla Redonda Aco Inox 84X44 Alto Brilho C/Válvula De Ø 4 1/2"" Com Escape Tramontina","569,91"
"Cuba Dupla Retangular Vertical Aco Inox 77X45 Alto Brilho C/Válvula De Ø 3 1/2"" Tramontina","462,56"
"Cuba Dupla Auxiliar Inox 64X39 1C1/2 Acetinado C/Válvula De Ø 4 1/2"" Com Escape Tramontina","1.043,01"
"Cuba Dupla Auxiliar Inox 64X39 1C1/2 Acetinado C/Válvula De Ø 4 1/2"" Tramontina","1.029,71"
"Cuba Dupla Auxiliar Inox 58X45 1C1/2 Alto Brilho C/Válvula De Ø 4 1/2"" Com Escape Tramontina","1.091,46"
"Cuba Dupla Auxiliar Inox 58X45 1C1/2 Acetinado C/Válvula De Ø 4 1/2"" Tramontina","966,06"
"Cuba Dupla Redonda Aco Inox 84X44 Alto Brilho C/Válvula De Ø 3 1/2"" Tramontina","498,66"
"Cuba Dupla Redonda Aco Inox 84X44 Alto Brilho C/Válvula De Ø 4 1/2"" Tramontina","565,25"
"Cuba Dupla Auxiliar Inox 64X39 1C1/2 Alto Brilho C/Válvula De Ø 4 1/2"" Tramontina","1.208,31"
Pia Aco Inox 100X50 1Ce Standard Tramontina,"283,58"
Pia Aco Inox 120X52 1Cc Standard Tramontina,"176,70"
Cuba Sobrepor Vidro Temperado Branco 116X50 2C C/F Tramontina,"2.867,10"
"Cuba Dupla Retangular Vertical Inox 69X40 Polido C/Válvula De Ø 4 1/2"" Tramontina","455,91"
"Cuba Retangular Aco Inox 40X34 Polido C/Furo Para Válvula De Ø 3 1/2"" Tramontina","151,05"
"Cuba Retangular Aco Inox Maxi 30L 50X40 Alto Brilho C/Válvula De Ø 4 1/2"" Tramontina","516,80"
"Cuba Retangular Aco Inox 40X34 Alto Brilho C/Furo Para Válvula De Ø 3 1/2"" Tramontina","198,55"
"Bacia Para Caixa Acoplada Square Cinza 7711040 Lorenzetti, , , ","189,91"
Bacia Convencional Bege Square  7710018 Lorenzetti,"189,91"
Bacia Para Caixa Acoplada Way Bege 7711033 Lorenzetti,"142,41"
"TAPETE DE TECIDO PARA ÁREA SECA SLIM 40X60CM EST3*PR1 PRETO ASTRA, ","17,96"
"KIT BANHEIRO COM 2 PECAS KBB1/2*BR1 BRANCO ASTRA, ","32,78"
"Cuba Redonda Aco Inox 38 Acetinado Prime C/Válvula De Ø 4 1/2"" C/Escape Tramontina","218,41"
"Cuba Dupla Retangular Horizontal Inox 78X40 Polido C/Furo Para Válvula De Ø 3 1/2"" Tramontina","351,41"
"Cuba Dupla Auxiliar Inox 58X45 1C1/2 Acetinado C/Válvula De Ø 4 1/2"" Com Escape Tramontina","895,76"
Filtro Mesa Acqua Bella Branco Lorenzetti,"74,96"
"Cuba Lavabo Semicircular Aco Inox 34Cm Alto Brilho C/Furo Para Válvula De Ø 1 1/4"" Tramontina","159,51"
"Cuba Lavabo Aco Inox Oval 40X27 Acetinado C/Furo Para Válvula De Ø 1 1/4"" Tramontina","119,61"
"Cuba Lavabo Aco Inox Oval 36X26 Acetinado C/Furo Para Válvula De Ø 1 1/4"" Tramontina","116,76"
"Cuba Lavabo Aco Inox Oval 40X27 Alto Brilho C/Furo Para Válvula De Ø 1 1/4"" Tramontina","138,61"
Cuba Sobrepor Inox 62X50 1C1/2V Sf Tramontina,"1.101,05"
Pia-Fogao Inox Star 120X55 2Gx/Ex Tramontina,"1.329,91"
"Cuba Lavabo Aco Inox Redondo 34Cm Alto Brilho C/Furo Para Válvula De Ø 1 1/4"" Tramontina","137,75"
"Cuba Lavabo Aco Inox Redondo 34Cm Acetinado C/Furo Para Válvula De Ø 1 1/4"" Tramontina","119,61"
"Cuba Lavabo Semicircular Aco Inox 34Cm Acetinado C/Furo Para Válvula De Ø 1 1/4"" Tramontina","131,01"
"Cuba Retangular Aco Inox 47X30 Acetinado C/Furo Para Válvula De Ø 3 1/2"" Tramontina","188,96"
"Cuba Lavatório Alto Brilho Aco Inox Redondo 24 Acetinado C/Furo Para Válvula De Ø 1 1/4"" Tramontina","113,91"
"Cuba Lavabo Aco Inox Redondo 30Cm Alto Brilho C/Furo Para Válvula De Ø 1 1/4"" Tramontina","120,65"
"Cuba Lavabo Aco Inox Redondo 30Cm Acetinado C/Furo Para Válvula De Ø 1 1/4"" Tramontina","104,50"
MISTURADOR MONO INOX VERSATILE 94520113 TRAMONTINA,"1.671,05"
"Acabamento para Registro Gaveta 1/2 3/4 1'' C47 Lorenzetti, ","36,01"
"LAVATORIO PLASTICO 36X28 3,8LT LV2/SC*BR1 ASTRA","18,91"
"Cuba Lavabo Aco Inox Redondo 24Cm Alto Brilho C/Furo Para Válvula De Ø 1 1/4"" Tramontina","132,91"
ASSENTO SANITARIO ALMOFADADO OVAL COMFORT BRANCO 11972 AMANCO,"66,41"
Espelheira Treviso 60X60 Castranho Mgm,"180,41"
Kit Para Banheiro 6 Pcs  Cr Bonno Aquaplas,"85,41"
Gabinete 17 Preto 60 Pia Linea Tomdo,"528,20"
ARMARIO PLASTICO 44X35X10 CM VERSATIL BEGE ASTRA,"65,08"
Assento Sanitárioário Plástico Acessibilidade Branco Fiori,"96,90"
Assento Sanitário Madeira Laqueada Com Verniz Preto Primula Plus Fiori ,"106,88"
CANTONEIRA PLASTICA BRANCA KANT3*BR ASTRA,"33,16"
ASSENTO SANITARIO OVAL MUNDIAL BRANCO AMANCO,"28,41"
Assento Sanit Plus Floral Bellart Bg  Durin,"31,26"
ASSENTO SANITARIO PREMIUM BRANCO 98617 AMANCO,"51,21"
ASSENTO SANITARIO OVAL MUNDIAL CINZA AMANCO,"28,41"
ASSENTO SANITARIO CARIBE SOFT CLOSE BRANCO 98616 AMANCO,"85,41"
Assento Sanit Plus Floral Bellart Br Durin,"31,26"
Assento Sanitario Oval Pp Diamantina Sabara Branco Ast300 Tupan,"31,35"
Assento Sanit Plus Floral Bellart Cz Claro Durin,"30,40"
Conjunto para Banheiro Agnus 60Cm Amendoa/Branco Fabribam,"242,16"
Kit Para Banheiro 5 Peças Cromado Com Acrílico Fume Milano,"36,58"
"TORNEIRA COZINHA PAREDE FLEX BLACK 7048533 LORENZETTI, ","161,41"
Kit Para Banheiro 5 Pcs  Aquainox  Aquaplas,"188,96"
Conjunto para Banheiro Blocc 60cm Branco/Carvalho Fabriban,"531,91"
Conjunto para Banheiro 65X60 com Espelho Branco e Preto Vix Mgm,"302,01"
Conjunto para Banheiro 65X60 com Espelho Branco Vix Mgm,"302,01"
Conjunto para Banheiro Classic Branco 62cm Bonato,"451,25"
Espelheira 37 Cinza 53Cm  Tondo,"124,93"
Espelheira 37 Preto 53Cm Tomdo,"124,93"
Espelheira 38 Preta 70Cm Tomdo,"149,06"
Espelheira 38 Vermelho 70Cm Tomdo,"149,06"
Espelheira 37 Vermelho 53Cm Tomdo,"124,93"
Espelheira 38 Branca 70Cm Tomdo,"149,06"
Espelheira 37 Branca 53Cm  Tomdo,"124,93"
Kit Para Banheiro 5 Pcs Cr Rimini Aquaplas,"44,56"
Conjunto Para Banheiro Vetro 13 Vermelho Tomdo,"346,66"
Gabinete 17 Vermelho 60 Pia Linea Tomdo,"463,51"
Toucador Com Cuba Ferrara 60X66 Nogueira/Branco Mgm,"436,91"
Toucador Com Cuba Ferrara 60X66 Branco/Preto Mgm,"436,91"
Toucador Com Cuba Ferrara 60X66 Castranho/Branco Mgm,"436,91"
Toucador Com Cuba Napoli 80X52 Nogueira/Branco Mgm,"452,20"
Toucador Com Cuba Napoli 80X52 Castranho/Branco Mgm,"452,20"
Toucador Com Cuba Napoli 80X52 Branco/Preto Mgm,"452,20"
Gabinete 17 Verde 60 Pia Linea Tomdo,"528,20"
Gabinete 17 Cinza 80 Pia Linea Tomdo,"616,46"
Gabinete 17 Cinza 60 Pia Linea Tomdo,"528,20"
"ARMARIO PLASTICO 35,5X30,5X10 BRANCO ASTRA","42,66"
ARMARIO PLASTICO 44X35X10 CM VERSATIL BRANCO ASTRA,"65,08"
ARMARIO PLASTICO 44X35X10 CM VERSATIL CINZA ASTRA,"65,08"
"ARMARIO PLASTICO 35,50X30X5X10 CINZA ASTRA","42,66"
"ARMARIO PLASTICO 35,5X30,5X10 BEGE CLARO ASTRA","42,66"
Kit Para Banheiro 5 Pcs Cr Delta Aquaplas,"79,71"
Assento Sanitario Pp Sabatini Cinza Claro Ast803 Tupan,"94,91"
Assento Sanitario Oval Pp Diamantina Sabara Cinza Claro03 Ast303 Tupan,"31,35"
Assento Sanitario Oval Pp Diamantina Sabara Cinza07 Ast307 Tupan,"31,35"
"Assento Sanitário Almofadado Oval Comfort Areia 11975 Amanco,Sobre o Produto","66,41"
Assento Sanitário Plastico Cinza Claro Primula Plus Fiori,"94,91"
Assento Sanitário Oval Pp Diamantina Sabara Areia Ast302 Tupan,"31,35"
Assento Sanitario Oval Pp Infantil Branco As1100 Tupan,"45,51"
Assento Sanit Almof Floral Bellart Br Durin,"75,91"
Assento Sanitário Oval Madeira Classic Cinza Claro Acl162 Tupan,"142,41"
Adaptador Infantil Meu Assentinho Branco Aib Tupan,"50,26"
Assento Sanitario Oval Pp Apolo Branco Aap000 Tupan,"69,83"
Cuba de Apoio Redonda 350mm Branca Fiori,"153,90"
Caixa Acoplada com Mecanismo Dual Flush Branca Primula Plus,"180,41"
Bacia Para Caixa Acoplada Branca Flox Fiori,"262,11"
Coluna Para Tanque Branco Fiori,"56,05"
Coluna Para Lavatorio Branco Primula Plus,"85,41"
"Bacia Para Caixa Acoplada Square Bege 7711018 Lorenzetti, , , , ","183,26"
Kit Para Banheiro Brasil 5 Peças Cromado Rf Brasil,"25,56"
Mictorio Com Mecanismo Branco Mc1X Fiori,"222,30"
Gabinete 17 Branco 60 Pia Linea Tomdo,"528,20"
Cuba Inox N2 140Mm Forminox,"126,26"
Bacia Para Caixa Acoplada Branca Primula Plus,"170,05"
Coluna para Lavatorio Suspensa Branca Flox Fiori,"125,40"
Papeleira Astra com Ventosa Branca Av/Pap*Br1,"30,40"
Saboneteira Com Ventosa Branca Astra,"16,06"
Bacia Convencional Way Cinza 7710040 Lorenzetti,"129,68"
ROLETE DE PAPEL HIGIENICO ASTRA,"4,66"
Kit Para Caixa Acoplada Universal Duo Flow 715005  Lorenzetti,"104,41"
Bacia Convencional Cinza Claro Primula Plus Fiori,"187,06"
Bacia Convencional Marfin Primula Plus,"187,06"
Bacia Para Caixa Acoplada Preto Primula Plus,"212,33"
Bacia Para Caixa Acoplada Cinza Claro Primula Plus,"187,06"
Bacia Para Caixa Acoplada Marfin Primula Plus,"187,06"
Bacia Convencional Cinza Escuro Fiori,"120,18"
Bacia Para Caixa Acoplada Marfin Fiori,"106,40"
CONJUNTO FIXACAO P/ CX ACOPLADA KPF ASTRA,"15,68"
ACIONAMENTO SUPERIOR P/CX ACOPLADA MB  ASTRA,"24,61"
"ENTRADA D'AGUA CAIXA ACOPLADA 300MM ASTRA, , , ","34,77"
Bacia Para Caixa Acoplada Branco Fiori,"107,26"
Bacia Convercional Branco Lirio,"151,91"
"Kit Para Caixa Acoplada Universal Sine 7151006 Lorenzetti, ","85,41"
BOLSA VEDACAO P/SAIDA CX ACOPLADA KS/BV ASTRA,"11,21"
OBTURADOR CAIXA ACOPLADA ASTRA,"12,92"
"MASSA ACRILICA GL 6KG CORAL, , ","37,91"
SELADOR ACRILICO 18L CORAL,"123,41"
Coluna Para Lavatorio Branco Lirio,"66,41"
Coluna Para Lavatorio Branco Fiori,"49,40"
Coluna Para Lavatorio Cinza Claro Fiori,"55,01"
Caixa Acoplada com Mecanismo Dual Flush Preto Primula Plus Fiori,"225,06"
"SAIDA D""AGUA CX ACOPLADA ASTRA","45,22"
MECANISMO ACIONA LATERAL EXT CELITE K3024 ASTRA,"109,16"
Barra de Apoio 60Cm 30222 Bognar,"93,01"
Lavatorio Para Coluna Branca Flox,"160,46"
Barra de Apoio 30Cm 30220 Bognar,"85,41"
Barra de Apoio 80cm 30223 Bognar,"113,91"
Lavatorio para Coluna Branco Primula Plus,"121,60"
Barra de Apoio 40cm 30221 Bognar,"90,16"
"MASSA CORRIDA PVA 5,8KG EUCATEX, ","23,66"
Verniz Tingidor Mogno 1/16 Eucatex,"9,41"
"Verniz Neutrex Mogno Galão 3,6 Litros Sparlack","85,41"
Verniz Extra Maritimo 1/4 Sparlack,"33,16"
Verniz Neutrex Imbuia 1/4 Sparlack,"27,46"
"Verniz Extra Maritimo Galão 3,6 Litros Sparlack","81,70"
Verniz Tingidor Mogno 1/4 Eucatex,"23,66"
Verniz Duplo Filtro Solar Brilhante 1/4 Sparlack,"33,16"
"Verniz Maritimo Brilhante Galão 3,6 Litros Eucatex","74,10"
Espatula Plastica Lisa 10Cm 150/10 Atlas,"3,71"
"Espatula Aco Inox 7,6Cm 6155/12 Atlas","22,71"
"Espatula Aço Cromado 12,7Cm 6255/20 Atlas","15,96"
Espatula Aço Cromado 6Cm 6255/10 Atlas,"11,31"
Espatula Aço Cromado 8Cm 6255/12 Atlas,"11,31"
"Espatula Plastica 13,1C 152/2 Atlas","2,38"
"Espatula Aco Inox 10,2Cm 6155/16  Atlas","28,49"
Espatula Aço Cromado 10Cm 6255/16 Atlas,"14,16"
Espatula Aço Cromado 4Cm 6255/6 Atlas,"9,41"
Garfo C/Buchas Sr 23cm 330/23Sr Atlas,"6,56"
Garfo Duplo Profissonal  At360/46 Atlas,"42,75"
Garfo Gaiola Sr 23cm 400/23Sr Atlas,"9,03"
Garfo Com Buchas 23cm At546/23 Profimax Atlas,"22,71"
Suporte Manual Para Meia Lixa At100/4  Atlas,"28,41"
Suporte Manual Para Lixa 100/2 Atlas,"27,46"
Espatula Multi Uso At195/1 Atlas,"21,76"
Lixa P/ Massa/Madeira 80 3M,"1,32"
"LIXA P/ MASSA 150 3M, ","1,32"
Lixa P/ Massa/Madeira 180 3M,"1,32"
Lixa P/ Massa/Madeira 100 3M,"1,24"
"LIXA P/ MASSA/MADEIRA 120 3M, ","1,24"
Lixa P/ Massa/Madeira 220 3M,"1,32"
"LIXA P/ FERRO 50  3M, ","2,84"
"Lixa D'Agua 80 3M, ","1,90"
"Lixa P/Ferro 36 3M,A","3,33"
Lixa P/Ferro 120 3M,"3,04"
Lixa P/Ferro 80 3M,"2,84"
Lixa D'Agua 100 3M,"2,09"
Lixa P/ Massa/Madeira 60 3M,"1,32"
Lixa P/Ferro 40 3M,"3,33"
Lixa D'Agua 1200 3M,"7,51"
Lixa D'Agua 360 3M,"1,90"
Lixa D'Agua  220 3M,"1,90"
Lixa D'Agua 320 3M,"1,90"
Lixa D'Agua 400 3M,"1,90"
Lixa D'Agua 150 3M,"2,09"
"Lixa D'Agua 120 3M, ","2,09"
Suporte para Lixa com Conector 100/3 Atlas,"41,71"
"Esmalte Brilhante Cinza Medio Galão 3,6 Litros Peg Pinte","63,56"
Esmalte Brilhante Gelo 1/4 Peg Pinte,"20,81"
"Esmalte Brilhante Branco Galão 3,6 Litros Peg Pinte","63,56"
Esmalte Brilhante Tabaco 1/4 Peg Pinte,"20,81"
Esmalte Brilhante Mar Conhaque 1/4 Peg Pinte,"20,81"
